id,group,artifact,version,ecosystem
2902,npm,gulp-decompress,1.2.0,npm
2917,npm,lodash._reescape,3.0.0,npm
2918,npm,lodash._reevaluate,3.0.0,npm
2919,npm,lodash._reinterpolate,3.0.0,npm
2920,npm,lodash.template,3.6.2,npm
2921,npm,lodash._basetostring,3.0.1,npm
2922,npm,lodash._basevalues,3.0.0,npm
2923,npm,lodash.escape,3.2.0,npm
2924,npm,lodash.templatesettings,3.1.1,npm
2932,npm,url-regex,3.2.0,npm
2949,npm,jasmine-core,2.4.1,npm
2950,npm,json-loader,0.5.7,npm
2955,npm,kind-of,6.0.2,npm
2960,npm,npm-packlist,1.2.0,npm
2962,npm,npm-bundled,1.0.5,npm
2966,npm,set-value,2.0.0,npm
2967,npm,set-value,0.4.3,npm
2969,npm,mixin-deep,1.3.1,npm
2972,npm,http-proxy,1.17.0,npm
2976,npm,handlebars,4.1.0,npm
2978,npm,karma-phantomjs-launcher,1.0.4,npm
2979,npm,phantomjs-prebuilt,2.1.16,npm
3018,npm,elliptic,6.4.1,npm
3050,npm,minimist,0.2.1,npm
3129,npm,bower-config,1.4.3,npm
3143,npm,faye-websocket,0.7.3,npm
3146,npm,websocket-extensions,0.1.4,npm
3148,npm,qs,2.2.5,npm
3149,npm,qs,5.2.0,npm
3163,npm,ws,1.1.5,npm
3237,npm,hoek,2.16.3,npm
3238,npm,tough-cookie,2.3.2,npm
3239,npm,fresh,0.3.0,npm
3240,npm,lodash,4.17.4,npm
3241,npm,superagent,3.6.0,npm
3242,npm,debug,2.6.8,npm
3243,npm,sshpk,1.13.1,npm
3244,npm,macaddress,0.2.8,npm
3245,npm,cryptiles,2.0.5,npm
3246,npm,randomatic,1.1.7,npm
3247,npm,extend,3.0.1,npm
3248,npm,clean-css,4.1.8,npm
3249,npm,eslint,4.6.1,npm
3250,npm,stringstream,0.0.5,npm
3251,npm,handlebars,4.0.10,npm
3252,npm,ws,1.1.1,npm
3253,npm,qs,6.2.1,npm
3254,npm,http-proxy,1.15.2,npm
3255,npm,bl,1.2.1,npm
3301,npm,electron-to-chromium,1.3.572,npm
3302,npm,ua-parser-js,0.7.22,npm
3313,javascript,angular-resource.min,1.5.11,npm
3314,javascript,angular-route.min,1.5.11,npm
3315,javascript,angular.min,1.5.5,npm
3316,javascript,openmrs-contrib-uicommons.bundle.min,1.5.5,npm
3317,npm,string.prototype.trimend,1.0.1,npm
3318,npm,string.prototype.trimstart,1.0.1,npm
3319,javascript,app,1.4.14,npm
3320,javascript,jquery,1.9.1,npm
3321,javascript,angular,1.4.0-beta.6,npm
3322,javascript,angular.min,1.5.3,npm
3323,javascript,app,1.4.8,npm
3324,javascript,app.min,1.4.8,npm
3336,npm,node-sass,3.1.0,npm
3325,npm,mime,1.4.0,npm
3327,npm,ua-parser-js,0.7.14,npm
3328,npm,bootstrap-4.0.0,alpha.6,npm
