Name,Version,LatestVersion,License,Website,ComponentType,Labels,Files,Vulnerabilities
exec-maven-plugin,1.5.0,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://www.mojohaus.org/exec-maven-plugin",Unknown,[],"[{""Timestamp"":1462620656000,""File"":""60745f1b1176af712b4e69b5a8625369ec3b7125.jar""}]",[]
"maven-scm-provider-cvsexe",1.7,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1335453944000,""File"":""c574e3f396a153240d5643b5c5fcdb31840b2175.jar""}]",[]
commons-compress,,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""compression""]","[{""Timestamp"":1272650488000,""File"":""5d7093b80b8893e04cbd776064f31c95bfd7a9d8.jar""}]","[{""CVE"":""CVE-2018-1324"",""Date"":1521206940000,""CVSS"":""4.3"",""Type"":""Exact Match""},{""CVE"":""CVE-2012-2098"",""Date"":1340999700000,""CVSS"":""5.0"",""Type"":""Exact Match""},{""CVE"":""CVE-2018-11771"",""Date"":1534433340000,""CVSS"":""4.3"",""Type"":""Exact Match""},{""CVE"":""CVE-2019-12402"",""Date"":1567156500000,""CVSS"":""5.0"",""Type"":""Exact Match""}]"
maven-resolver-provider,3.6.0,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1554845710000,""File"":""ab01175770621d7a4969367b03493987c8ab65d6.jar""}]",[]
maven-plugin-api,3.6.0,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1554845710000,""File"":""1b9fc7d4e1788d2a72d4aad71f7ebaf83f066018.jar""}]",[]
objenesis,,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""utility""]","[{""Timestamp"":1381447528000,""File"":""8df582421867cf7298658e00cd2e9e460b697b05.jar""}]",[]
jersey-server,2.6,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
"management-ehcache-impl-v2",2.10.0,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
plexus-utils,1.5.15,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1244209748000,""File"":""c689598ce1eb94c304817877ed15911099972526.jar""}]","[{""CVE"":""CVE-2017-1000487"",""Date"":1515011340000,""CVSS"":""7.5"",""Type"":""Exact Match""}]"
org.eclipse.sisu.plexus,0.3.3,,"{""Name"":""EPL"",""URL"":""http://www.eclipse.org/legal/epl-v10.html"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1510359014000,""File"":""853d470af717a5df6ff597b3e4c6963f067b2edc.jar""}]",[]
"geronimo-annotation_1.3_spec",1.0,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://geronimo.apache.org/maven/${siteId}/${version}",Unknown,[],"[{""Timestamp"":1505465734000,""File"":""5c236ae521ed72cc4585cb0ba19de79e88bed980.jar""}]",[]
hibernate-search-engine,5.1.2,,"{""Name"":""LGPL"",""URL"":""https://www.gnu.org/copyleft/lesser.html"",""Type"":""lgpl""}",,Unknown,[],"[{""Timestamp"":1429836174000,""File"":""fc36a86e8769ed723dd63006b01c89f07f704a0e.jar""}]",[]
